id,bengali,phonetic,french,sent_at
42,"আমি কফি খাই।","Aami kofi khaai.","Je bois du café.",2026-05-24T06:00:24.463Z
43,"আমি টেলিভিশন দেখি।","Aami television dekhi.","Je regarde la télévision.",2026-05-24T19:00:21.696Z
44,"মাছ সুস্বাদু।","Maachh shushadu.","Le poisson est délicieux.",2026-05-24T19:00:21.696Z
45,"আমি চিঠি লিখি।","Aami chithi likhi.","J'écris une lettre.",2026-05-24T19:00:21.696Z
46,"আমি ছবি তুলি।","Aami chhobi tuli.","Je prends des photos.",2026-05-25T06:01:07.753Z
47,"বাস আসছে।","Baash aashche.","Le bus arrive.",2026-05-25T06:01:07.753Z
48,"আমি বিশ্রাম নিচ্ছি।","Aami bishram nicchhi.","Je me repose.",2026-05-25T06:01:07.753Z
49,"আমি বাগানে আছি।","Aami baagane aachhi.","Je suis dans le jardin.",2026-05-25T19:00:55.035Z
50,"ট্রেন দেরি করছে।","Train deri korche.","Le train est en retard.",2026-05-25T19:00:55.035Z
51,"আমি জামা পরি।","Aami jaama pori.","Je m'habille.",2026-05-25T19:00:55.035Z
52,"আমি মাংস খাই না।","Aami maangsh khaai na.","Je ne mange pas de viande.",2026-05-26T06:00:31.639Z
53,"ঘড়ি বাজছে।","Ghori baajche.","L'horloge sonne.",2026-05-26T06:00:31.639Z
54,"আমি হাত ধুই।","Aami haat dhui.","Je me lave les mains.",2026-05-26T06:00:31.639Z
55,"সূর্য উঠছে।","Shurjo uthche.","Le soleil se lève.",2026-05-27T06:00:58.853Z
56,"আমি চুল আঁচড়াই।","Aami chul aanchrai.","Je me coiffe.",2026-05-27T06:00:58.853Z
57,"রাস্তা ভিজে।","Raasta bhije.","La rue est mouillée.",2026-05-27T06:00:58.853Z
58,"পাখি গান গায়।","Pakhi gaan gaay.","L'oiseau chante.",2026-05-27T19:00:55.794Z
59,"আমি ওষুধ খাই।","Aami oushodh khaai.","Je prends des médicaments.",2026-05-27T19:00:55.794Z
60,"চিনি মিষ্টি।","Chini mishti.","Le sucre est doux.",2026-05-27T19:00:55.794Z
61,"আমি দাঁত মাজি।","Aami daant maaji.","Je me brosse les dents.",2026-05-28T06:00:36.030Z
62,"বিড়াল ঘুমাচ্ছে।","Biral ghumaachhe.","Le chat dort.",2026-05-28T06:00:36.030Z
63,"আমি ক্ষুধার্ত।","Aami khudhaarto.","J'ai faim.",2026-05-28T06:00:36.030Z
64,"আমি বাজার করি।","Aami baajaar kori.","Je fais les courses.",2026-05-28T19:02:06.428Z
65,"কুকুর দৌড়াচ্ছে।","Kukur douraachchhe.","Le chien court.",2026-05-28T19:02:06.428Z
66,"আমি তৃষ্ণার্ত।","Aami trishnarto.","J'ai soif.",2026-05-28T19:02:06.428Z
67,"আজকে মেঘ আছে।","Aajke megh ache.","Il y a des nuages aujourd'hui.",2026-05-29T19:00:51.459Z
68,"আমি চশমা পরি।","Aami choshma pori.","Je porte des lunettes.",2026-05-29T19:00:51.459Z
69,"দোকান খোলা।","Dokaan khola.","Le magasin est ouvert.",2026-05-29T19:00:51.459Z
70,"আমি স্নান করি।","Aami shnaan kori.","Je me douche.",2026-05-30T06:00:56.218Z
71,"গরু দুধ দেয়।","Goru dudh dey.","La vache donne du lait.",2026-05-30T06:00:56.218Z
72,"আমি সাইকেল চালাই।","Aami saikel chaalai.","Je fais du vélo.",2026-05-30T06:00:56.218Z
73,"আমি চিনি কিনি।","Aami chini kini.","J'achète du sucre.",2026-05-30T19:00:51.728Z
74,"বাতাস ঠান্ডা।","Baataas thaanda.","Le vent est froid.",2026-05-30T19:00:51.728Z
75,"আমি ফোন করি।","Aami phon kori.","Je passe un appel.",2026-05-30T19:00:51.728Z
76,"আমি নাস্তা খাই।","Aami naasta khaai.","Je prends le petit-déjeuner.",2026-05-31T06:00:45.520Z
77,"গাছে ফুল আছে।","Gaachhe phul ache.","Il y a des fleurs sur l'arbre.",2026-05-31T06:00:45.520Z
78,"আমি গাড়ি চালাই।","Aami gaari chaalai.","Je conduis une voiture.",2026-05-31T06:00:45.520Z
79,"আমি লবণ কিনি।","Aami lobon kini.","J'achète du sel.",2026-05-31T19:00:26.158Z
80,"বৃষ্টি থামছে।","Brrishti thamche.","La pluie s'arrête.",2026-05-31T19:00:26.158Z
81,"আমি চিঠি পাই।","Aami chithi paai.","Je reçois une lettre.",2026-05-31T19:00:26.158Z
82,"আমি জুতা পরি।","Aami juta pori.","Je mets mes chaussures.",2026-06-01T06:00:16.508Z
83,"মাঠ সবুজ।","Maath shobuj.","Le champ est vert.",2026-06-01T06:00:16.508Z
84,"আমি গল্প বলি।","Aami golpo boli.","Je raconte une histoire.",2026-06-01T06:00:16.508Z
85,"নদী বড়।","Nodi boro.","La rivière est grande.",2026-06-01T19:01:04.161Z
86,"আমি বাজনা শুনি।","Aami baajnaa shuni.","J'écoute de la musique.",2026-06-01T19:01:04.161Z
87,"শীত আসছে।","Sheet aashche.","L'hiver arrive.",2026-06-01T19:01:04.161Z
88,"আমি আম খাই।","Aami aam khaai.","Je mange une mangue.",2026-06-02T06:00:47.801Z
89,"দরজা বন্ধ।","Dorja bondho.","La porte est fermée.",2026-06-02T06:00:47.801Z
90,"আমি ছুটিতে আছি।","Aami chutite aachhi.","Je suis en vacances.",2026-06-02T06:00:47.801Z
91,"আমি চিকিৎসকের কাছে যাই।","Aami chikitshaker kache jaai.","Je vais chez le médecin.",2026-06-02T19:01:45.049Z
92,"পাহাড় উঁচু।","Paahar unchu.","La montagne est haute.",2026-06-02T19:01:45.049Z
93,"আমি হাট করি।","Aami haat kori.","Je vais au marché hebdomadaire.",2026-06-02T19:01:45.049Z
94,"আমি বই কিনি।","Aami boi kini.","J'achète un livre.",2026-06-03T06:00:33.351Z
95,"সমুদ্র দূরে।","Shomudro dure.","La mer est loin.",2026-06-03T06:00:33.351Z
96,"আমি ক্লাসে যাই।","Aami klaashe jaai.","Je vais en cours.",2026-06-03T06:00:33.351Z
97,"আমি মাছ ধরি।","Aami maachh dhori.","Je pêche.",2026-06-03T19:00:26.565Z
98,"ঘর উষ্ণ।","Ghor ushno.","La maison est chaude.",2026-06-03T19:00:26.565Z
99,"আমি ভোরে উঠি।","Aami bhore uthi.","Je me lève à l'aube.",2026-06-03T19:00:26.565Z
100,"আমি বাজনা বাজাই।","Aami baajnaa baajhaai.","Je joue de la musique.",2026-06-04T06:00:12.767Z
101,"রোদ উঠছে।","Rod uthche.","Le soleil se lève.",2026-06-04T06:00:12.767Z
102,"আমি কলম দিয়ে লিখি।","Aami kolom diye likhi.","J'écris avec un stylo.",2026-06-04T06:00:12.767Z
103,"আমি চা বানাই।","Aami chaa baanai.","Je prépare du thé.",2026-06-04T19:01:01.733Z
104,"ছেলেটি দৌড়াচ্ছে।","Chheleti douraachchhe.","Le garçon court.",2026-06-04T19:01:01.733Z
105,"আমি রাত জাগি।","Aami raat jaagi.","Je veille tard.",2026-06-04T19:01:01.733Z
106,"আমি বাজারে সবজি কিনি।","Aami baajare shobji kini.","J'achète des légumes au marché.",2026-06-05T06:00:47.226Z
107,"রাস্তা লম্বা।","Raasta lomba.","La route est longue.",2026-06-05T06:00:47.226Z
108,"আমি সন্ধ্যায় হাঁটি।","Aami shondhyaay haanti.","Je me promène le soir.",2026-06-05T06:00:47.226Z
109,"মেয়েটি গান গাইছে।","Meeti gaan gaichhe.","La fille chante.",2026-06-05T19:00:46.224Z
110,"আমি পানি গরম করি।","Aami paani gorom kori.","Je chauffe l'eau.",2026-06-05T19:00:46.224Z
111,"বাগান সুন্দর।","Baagaan shundor.","Le jardin est beau.",2026-06-05T19:00:46.224Z
112,"আমি খেলাধুলা করি।","Aami kheladhula kori.","Je fais du sport.",2026-06-06T06:00:37.873Z
113,"আকাশ মেঘলা।","Aakash meghla.","Le ciel est nuageux.",2026-06-06T06:00:37.873Z
114,"আমি বাড়ি পরিষ্কার করি।","Aami baari porishhkaar kori.","Je nettoie la maison.",2026-06-06T06:00:37.873Z
115,"সে বই পড়ছে।","She boi porchhe.","Il/Elle lit un livre.",2026-06-06T19:00:27.828Z
116,"আমি চা পান করি।","Aami chaa paan kori.","Je bois du thé.",2026-06-06T19:00:27.828Z
117,"রাস্তা শান্ত।","Raasta shaanto.","La rue est calme.",2026-06-06T19:00:27.828Z
118,"আমি সকালে উঠি।","Aami shokale uthi.","Je me lève le matin.",2026-06-07T06:00:11.143Z
119,"ফুলটি লাল।","Phulti laal.","La fleur est rouge.",2026-06-07T06:00:11.143Z
120,"আমি বাজারে যাই।","Aami baajare jaai.","Je vais au marché.",2026-06-07T06:00:11.143Z
121,"বাচ্চারা খেলছে।","Baachhaara khelchhe.","Les enfants jouent.",2026-06-07T19:01:25.204Z
122,"আমি দুধ খাই।","Aami dudh khaai.","Je bois du lait.",2026-06-07T19:01:25.204Z
123,"সন্ধ্যা হয়েছে।","Shondhya hoyechhe.","Le soir est tombé.",2026-06-07T19:01:25.204Z
124,"আমি গোসল করি।","Aami goshol kori.","Je prends une douche.",2026-06-08T06:00:11.902Z
125,"পাখিটি গান করছে।","Paaakhiti gaan korchhe.","L'oiseau chante.",2026-06-08T06:00:11.902Z
126,"আমি জুতা পরি।","Aami juta pori.","Je mets mes chaussures.",2026-06-08T06:00:11.902Z
127,"নদীটি গভীর।","Noditi gobhir.","La rivière est profonde.",2026-06-08T19:00:30.967Z
128,"আমি চুল আঁচড়াই।","Aami chul aanchraai.","Je me brosse les cheveux.",2026-06-08T19:00:30.967Z
129,"খাবারটি মিষ্টি।","Khaabaarti mishti.","La nourriture est sucrée.",2026-06-08T19:00:30.967Z
130,"আমি চিঠি লিখি।","Aami chithi likhi.","J'écris une lettre.",2026-06-09T06:00:19.325Z
131,"ঘরটি উষ্ণ।","Ghoriti ushno.","La pièce est chaude.",2026-06-09T06:00:19.325Z
132,"আমি মাছ খাই।","Aami maachh khaai.","Je mange du poisson.",2026-06-09T06:00:19.325Z
133,"আমি কফি পান করি।","Aami kophee paan kori.","Je bois du café.",2026-06-09T19:00:30.771Z
134,"দরজাটি খোলা।","Dorjaati khola.","La porte est ouverte.",2026-06-09T19:00:30.771Z
135,"আমি হাঁটছি।","Aami haantchhi.","Je marche.",2026-06-09T19:00:30.771Z
136,"বাতাস ঠান্ডা।","Baataash thanda.","Le vent est froid.",2026-06-10T06:00:20.302Z
137,"আমি ঘুমাতে যাই।","Aami ghumaate jaai.","Je vais dormir.",2026-06-10T06:00:20.302Z
138,"সে হাসছে।","She haashchhe.","Il/Elle sourit.",2026-06-10T06:00:20.302Z
139,"আমি রান্না করছি।","Aami raanna korchhi.","Je cuisine.",2026-06-10T19:00:15.624Z
140,"গাছটি লম্বা।","Gaachti lomba.","L'arbre est grand.",2026-06-10T19:00:15.624Z
141,"আমি স্কুলে যাই।","Aami skule jaai.","Je vais à l'école.",2026-06-10T19:00:15.624Z
142,"আমি ফল কিনি।","Aami phol kini.","J'achète des fruits.",2026-06-11T06:00:13.942Z
143,"জানালাটি বন্ধ।","Jaanalaati bondho.","La fenêtre est fermée.",2026-06-11T06:00:13.942Z
144,"আমি গান শুনি।","Aami gaan shuni.","J'écoute de la musique.",2026-06-11T06:00:13.942Z
145,"আমি কাজ করছি।","Aami kaaj korchhi.","Je travaille.",2026-06-11T19:00:28.820Z
146,"সূর্য উঠেছে।","Shurjo uthechhe.","Le soleil s'est levé.",2026-06-11T19:00:28.820Z
147,"আমি বাস ধরি।","Aami baash dhori.","Je prends le bus.",2026-06-11T19:00:28.820Z
148,"বিড়ালটি ঘুমাচ্ছে।","Biraalti ghumaachhe.","Le chat dort.",2026-06-12T06:00:14.844Z
149,"আমি পোশাক পরি।","Aami poshak pori.","Je m'habille.",2026-06-12T06:00:14.844Z
150,"রাত গভীর।","Raat gobhir.","La nuit est profonde.",2026-06-12T06:00:14.844Z
151,"আমি দাঁত মাজি।","Aami daant maaji.","Je me brosse les dents.",2026-06-12T19:00:27.800Z
152,"ছেলেটি দৌড়াচ্ছে।","Chheleti douraachhe.","Le garçon court.",2026-06-12T19:00:27.800Z
153,"আমি টেবিল মুছি।","Aami tebil muchi.","J'essuie la table.",2026-06-12T19:00:27.800Z
154,"আমি বন্ধুকে ডাকি।","Aami bondhuke daaki.","J'appelle mon ami.",2026-06-13T06:00:31.166Z
155,"মাঠটি সবুজ।","Maathti shobuj.","Le champ est vert.",2026-06-13T06:00:31.166Z
156,"আমি ভাত রান্না করি।","Aami bhaat raanna kori.","Je fais cuire du riz.",2026-06-13T06:00:31.166Z
